"postcode","postcode_space","postcode area","Average download speed (Mbit/s)","Maximum download speed (Mbit/s)","Minimum download speed (Mbit/s)","Average upload speed (Mbit/s)","Maximum upload speed (Mbit/s)","Minimum upload speed (Mbit/s)","Average data usage (GB)","All Premises","Connected Premises","lsoa_area","city"
"PL51QJ","PL5 1QJ","PL",4.34769395559338,5.30330490805908,2.80336038090653,1.91692261218206,3.04452243772342,0.741937344729377,5.64190707093811,44,44,"Plymouth 009D","Plymouth"
"PL51QL","PL5 1QL","PL",4.60916220725763,5.30330490805908,2.98568193770049,2.04122032885964,2.56494935746154,0.693147180559945,5.7268477475872,17,17,"Plymouth 009D","Plymouth"
"PL51QN","PL5 1QN","PL",3.83514196109219,4.67562864963665,2.47653840011748,2.10413415427021,3.04452243772342,0.262364264467491,6.0730445341004,28,28,"Plymouth 009F","Plymouth"
"PL51QP","PL5 1QP","PL",4.44734610079452,5.30330490805908,3.01062088604774,1.96009478404727,2.56494935746154,0.693147180559945,5.73979291217923,23,23,"Plymouth 009F","Plymouth"
"PL51QQ","PL5 1QQ","PL",4.64727136200673,5.30330490805908,2.8094026953625,2.16332302566054,2.56494935746154,0.741937344729377,5.51342874616498,21,21,"Plymouth 009F","Plymouth"
"PL51QS","PL5 1QS","PL",4.17899203628239,5.30330490805908,2.4932054526027,1.58923520511658,2.56494935746154,0.0953101798043249,5.21493575760899,16,16,"Plymouth 006D","Plymouth"
"PL51QT","PL5 1QT","PL",4.07923092441205,5.30330490805908,2.58021682959233,1.58923520511658,2.56494935746154,0.641853886172395,4.7361984483945,12,12,"Plymouth 006D","Plymouth"
"PL51QU","PL5 1QU","PL",4.03777421073371,5.30330490805908,3.01062088604774,1.43508452528932,2.56494935746154,0.53062825106217,6.36302810354046,6,6,"Plymouth 006D","Plymouth"
"PL51QY","PL5 1QY","PL",3.8607297110406,5.30330490805908,2.72785282839839,1.30833281965018,2.56494935746154,0.336472236621213,5.26269018890489,20,20,"Plymouth 006D","Plymouth"
"PL51QZ","PL5 1QZ","PL",3.20680324363393,4.10923317471585,0.262364264467491,1.70474809223843,2.60268968544438,0.336472236621213,6.3261494731551,57,57,"Plymouth 014E","Plymouth"
"PL51RA","PL5 1RA","PL",4.39197696552705,5.70711026474888,2.74727091425549,2.2512917986065,3.04452243772342,0.587786664902119,6.62406522779989,14,14,"Plymouth 009F","Plymouth"
"PL51RB","PL5 1RB","PL",4.64439089914137,5.30330490805908,3.15700042115011,1.97408102602201,2.56494935746154,0.693147180559945,5.98645200528444,13,13,"Plymouth 009G","Plymouth"
"PL51RD","PL5 1RD","PL",3.73528582692809,4.29319542096727,3.00568260440716,2.02814824729229,3.04452243772342,0.693147180559945,5.78074351579233,8,8,"Plymouth 009G","Plymouth"
"PL51RF","PL5 1RF","PL",4.67934958416234,5.70711026474888,3.08190996979504,2.40694510831829,3.04452243772342,0.741937344729377,5.92157841964382,10,10,"Plymouth 009G","Plymouth"
"PL51RG","PL5 1RG","PL",4.22683374526818,5.30330490805908,0.405465108108164,1.85629799036563,3.04452243772342,0.182321556793955,5.29330482472449,18,18,"Plymouth 009D","Plymouth"
"PL51RH","PL5 1RH","PL",4.38327585407431,5.30330490805908,2.71469474382088,2.11625551480255,3.03013370027132,0.587786664902119,5.21493575760899,33,33,"Plymouth 009D","Plymouth"
"PL51RJ","PL5 1RJ","PL",4.0943445622221,5.30330490805908,2.09186406167839,1.87180217690159,3.04452243772342,0.587786664902119,5.33271879326537,21,21,"Plymouth 009D","Plymouth"
"PL51RQ","PL5 1RQ","PL",3.76120011569356,4.39444915467244,2.89037175789616,2.27212588550934,3.04452243772342,0.741937344729377,5.44673737166631,5,5,"Plymouth 009D","Plymouth"
"PL51RR","PL5 1RR","PL",4.2076732475291,5.30330490805908,1.09861228866811,1.87180217690159,3.04452243772342,0.53062825106217,5.46383180502561,22,22,"Plymouth 009G","Plymouth"
"PL51RW","PL5 1RW","PL",3.61091791264422,4.61512051684126,2.21920348405499,1.16315080980568,1.94591014905531,0.693147180559945,5.35658627467201,14,14,"Plymouth 009D","Plymouth"
"PL51RX","PL5 1RX","PL",3.89792408104864,4.61512051684126,2.2082744135228,2.11625551480255,3.04452243772342,0.336472236621213,5.43372200355424,18,18,"Plymouth 009G","Plymouth"
"PL51RZ","PL5 1RZ","PL",4.11577984294217,4.61512051684126,2.90142159408275,1.52605630349505,1.94591014905531,0.741937344729377,5.08759633523238,7,7,"Plymouth 006D","Plymouth"
"PL51SA","PL5 1SA","PL",4.69957086140958,5.30330490805908,2.88480071284671,2.06686275947298,2.56494935746154,0.641853886172395,5.16478597392351,28,28,"Plymouth 006D","Plymouth"
"PL51SB","PL5 1SB","PL",4.4496852831477,5.30330490805908,2.85647020622048,2.21920348405499,3.04452243772342,0.693147180559945,5.0998664278242,29,29,"Plymouth 006D","Plymouth"
"PL51SE","PL5 1SE","PL",4.53044663979215,5.30330490805908,2.77258872223978,2.29253475714054,3.04452243772342,0.832909122935104,5.78996017089725,16,16,"Plymouth 009A","Plymouth"
"PL51SF","PL5 1SF","PL",3.29953372788566,3.71357206670431,2.78501124223834,1.54756250871601,2.39789527279837,0.693147180559945,4.85203026391962,14,14,"Plymouth 009G","Plymouth"
"PL51SH","PL5 1SH","PL",4.08260930600368,5.30330490805908,2.96527306606928,1.75785791755237,3.04452243772342,0.641853886172395,5.42053499927229,43,43,"Plymouth 006D","Plymouth"
"PL51SJ","PL5 1SJ","PL",3.45946628978613,4.26267987704132,1.19392246847243,1.1314021114911,1.79175946922805,0.587786664902119,4.35670882668959,5,5,"Plymouth 009G","Plymouth"
"PL51SN","PL5 1SN","PL",4.36309862478836,5.30330490805908,2.94443897916644,2.19722457733622,3.04452243772342,0.587786664902119,5.76205138278018,16,16,"Plymouth 009G","Plymouth"
"PL51SP","PL5 1SP","PL",4.18052225846315,5.30330490805908,1.41098697371026,2.09186406167839,3.04452243772342,0.336472236621213,5.08140436498446,22,22,"Plymouth 006D","Plymouth"
"PL51SR","PL5 1SR","PL",4.70048036579242,5.30330490805908,3.02042488614436,2.05412373369555,2.56494935746154,0.78845736036427,5.62401750618734,20,20,"Plymouth 009G","Plymouth"
"PL51SS","PL5 1SS","PL",4.23265617801961,5.30330490805908,2.79116510781272,1.6094379124341,2.56494935746154,0.587786664902119,5.77144112313002,8,8,"Plymouth 009G","Plymouth"
"PL51SW","PL5 1SW","PL",4.74493212836325,5.30330490805908,3.04927304048202,2.31253542384721,3.04452243772342,0.693147180559945,5.39362754635236,13,13,"Plymouth 009G","Plymouth"
"PL51TE","PL5 1TE","PL",3.67630067190708,4.61512051684126,2.14006616349627,2.10413415427021,3.04452243772342,0.336472236621213,4.30406509320417,24,24,"Plymouth 009D","Plymouth"
"PL51TF","PL5 1TF","PL",4.47960696301275,5.30330490805908,2.77258872223978,2.05412373369555,2.56494935746154,0.741937344729377,5.47646355193151,17,17,"Plymouth 009D","Plymouth"
"PL51TG","PL5 1TG","PL",4.34769395559338,5.30330490805908,2.67414864942653,1.91692261218206,2.56494935746154,0.693147180559945,6.16331480403464,22,22,"Plymouth 009D","Plymouth"
"PL51TH","PL5 1TH","PL",4.24132675257075,5.30330490805908,2.98061863574394,2.00148000021012,2.56494935746154,0.741937344729377,6.0913098820777,17,17,"Plymouth 009D","Plymouth"
"PL51TJ","PL5 1TJ","PL",4.26549281841793,5.30330490805908,2.66025953726586,1.96009478404727,2.56494935746154,0.53062825106217,5.3890717298165,21,21,"Plymouth 009D","Plymouth"
"PL51TL","PL5 1TL","PL",3.96271611974366,4.67562864963665,2.73436750941958,1.80828877117927,2.56494935746154,0.693147180559945,5.98393628068719,7,7,"Plymouth 009D","Plymouth"
"PL51TN","PL5 1TN","PL",4.62104353514438,5.70711026474888,1.77495235091167,2.11625551480255,3.04452243772342,0.641853886172395,5.48063892334199,18,18,"Plymouth 009D","Plymouth"
"PL51TP","PL5 1TP","PL",4.43675153436313,5.30330490805908,2.3887627892351,2.15176220325946,2.61006979274201,0.641853886172395,5.96100533962327,10,10,"Plymouth 009D","Plymouth"
"PL51TQ","PL5 1TQ","PL",4.55176940926098,5.70711026474888,2.43361335540045,2.23001440015921,3.04452243772342,0.405465108108164,6.53378883793334,18,18,"Plymouth 009D","Plymouth"
"PL51TR","PL5 1TR","PL",4.24992279404054,5.30330490805908,1.75785791755237,2.07944154167984,3.04452243772342,0.693147180559945,6.01126717440416,26,26,"Plymouth 009F","Plymouth"
